"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
"12",1472,160,"RM",21,1680,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"TA","TA","CBlock","TA","TA","No","Rec",156,"Unf",0,327,483,"GasA","TA","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ",0,NA,"Detchd",1971,"Unf",1,264,"TA","TA","Y",275,0,0,0,0,0,NA,NA,NA,0,2,2010,"COD","Normal"
"13",1473,160,"RM",21,1680,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"TA","TA","CBlock","TA","TA","No","Rec",300,"Unf",0,225,525,"GasA","TA","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"TA",6,"Typ",0,NA,"Detchd",1997,"Unf",1,320,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal"
"26",1486,60,"RL",63,8577,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,847,847,"GasA","Ex","Y","SBrkr",847,886,0,1733,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",2004,"Fin",2,433,"TA","TA","Y",144,48,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal"
"31",1491,60,"RL",70,11920,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",122,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,831,831,"GasA","Ex","Y","SBrkr",831,828,0,1659,0,0,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2004,"RFn",2,484,"TA","TA","Y",144,68,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal"
"37",1497,160,"FV",39,3515,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,840,840,"GasA","Ex","Y","SBrkr",840,840,0,1680,0,0,2,1,2,1,"Gd",3,"Typ",0,NA,"Attchd",2004,"RFn",2,588,"TA","TA","Y",0,111,0,0,0,0,NA,NA,NA,0,1,2010,"WD","Normal"
"38",1498,160,"FV",30,3215,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","MetalSd","MetalSd","BrkFace",120,"Gd","TA","PConc","Gd","TA","Av","GLQ",280,"Unf",0,320,600,"GasA","Ex","Y","SBrkr",600,600,0,1200,0,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2004,"RFn",2,480,"TA","TA","Y",0,172,0,0,0,0,NA,NA,NA,0,4,2010,"ConLD","Normal"
"39",1499,160,"FV",24,2544,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",7,5,2004,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",368,"ALQ",42,190,600,"GasA","Ex","Y","SBrkr",600,600,0,1200,1,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2004,"RFn",2,480,"TA","TA","Y",0,172,0,0,0,0,NA,NA,NA,0,2,2010,"WD","Normal"
"40",1500,160,"FV",24,2544,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",216,"Gd","TA","PConc","Gd","TA","No","GLQ",376,"Unf",0,224,600,"GasA","Ex","Y","SBrkr",600,636,0,1236,1,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2005,"RFn",2,480,"TA","TA","Y",0,166,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal"
"41",1501,160,"FV",NA,2980,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",6,5,2000,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",1159,"Gd","TA","PConc","Gd","TA","No","GLQ",466,"Unf",0,290,756,"GasA","Ex","Y","SBrkr",756,756,0,1512,1,0,2,1,2,1,"Gd",5,"Typ",0,NA,"Detchd",2000,"Unf",2,440,"TA","TA","Y",0,32,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal"
"42",1502,160,"FV",NA,2403,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",244,"Unf",0,286,530,"GasA","Ex","Y","SBrkr",530,550,0,1080,0,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Attchd",2003,"RFn",2,496,"TA","TA","Y",0,50,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal"
